symbol,timestamp,expiration,expiration_date,strike,contractType,bid,ask,last,open_interest,volume,delta,gamma,theta,vega,rho,implied_volatility
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,144.0,CALL,27.1,27.5,27.67,652,6,1.0,0.0,-0.0,0.0,0.0,253.053
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,145.0,CALL,26.15,26.5,26.74,573,121,1.0,0.0,-0.0,0.0,0.0,243.816
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,146.0,CALL,25.05,25.5,25.53,392,52,1.0,0.0,-0.0,0.0,0.0,234.62
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,147.0,CALL,24.2,24.5,24.85,563,139,1.0,0.0,-0.0,0.0,0.0,225.46
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,148.0,CALL,23.15,23.45,23.73,985,24,1.0,0.0,-0.0,0.0,0.0,216.338
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,149.0,CALL,22.0,22.5,22.73,389,5,1.0,0.0,-0.0,0.0,0.0,207.247
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,150.0,CALL,21.2,21.5,21.74,1391,243,1.0,0.0,-0.0,0.0,0.0,198.191
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,152.5,CALL,18.6,18.95,20.22,490,113,1.0,0.0,-0.0,0.0,0.0,175.673
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,155.0,CALL,16.2,16.45,16.45,2616,146,1.0,0.0,-0.0,0.0,0.0,153.304
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,157.5,CALL,13.75,13.95,13.98,1355,215,1.0,0.0,-0.0,0.0,0.0,131.032
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,160.0,CALL,11.25,11.35,11.3,4199,574,1.0,0.0,-0.0,0.0,0.0,122.982
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,162.5,CALL,8.75,8.9,9.0,4978,752,1.0,0.0,-0.0,0.0,0.0,98.55
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,165.0,CALL,6.2,6.35,6.5,7968,1769,1.0,0.0,-0.0,0.0,0.0,73.513
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,167.5,CALL,3.8,3.9,3.9,4739,2135,0.95,0.023,-0.02,0.004,0.0,55.255
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,170.0,CALL,1.56,1.6,1.56,14079,13905,0.775,0.161,-0.236,0.012,0.001,46.041
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,172.5,CALL,0.27,0.29,0.28,10770,58862,0.267,0.187,-0.285,0.013,0.0,43.38
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,175.0,CALL,0.05,0.06,0.05,14696,125156,0.057,0.051,-0.055,0.005,0.0,55.546
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,177.5,CALL,0.02,0.03,0.02,9886,64323,0.022,0.018,-0.025,0.002,0.0,73.384
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,180.0,CALL,0.02,0.03,0.02,22836,42899,0.017,0.011,-0.025,0.002,0.0,97.543
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,182.5,CALL,0.01,0.02,0.01,16457,6874,0.01,0.006,-0.015,0.001,0.0,112.447
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,185.0,CALL,0.0,0.01,0.01,17768,11996,0.003,0.002,-0.005,0.0,0.0,118.68
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,187.5,CALL,0.0,0.01,0.01,23149,1468,0.003,0.002,-0.005,0.0,0.0,137.216
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,190.0,CALL,0.0,0.01,0.01,15936,3166,0.003,0.001,-0.005,0.0,0.0,155.262
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,192.5,CALL,0.0,0.01,0.01,12643,847,0.002,0.001,-0.005,0.0,0.0,172.87
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,195.0,CALL,0.0,0.01,0.01,10866,475,0.002,0.001,-0.005,0.0,0.0,190.084
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,197.5,CALL,0.0,0.01,0.01,4735,170,0.002,0.001,-0.005,0.0,0.0,206.926
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,200.0,CALL,0.0,0.01,0.01,19857,186,0.002,0.001,-0.005,0.0,0.0,223.43
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,202.5,CALL,0.0,0.01,0.01,3044,43,0.002,0.001,-0.005,0.0,0.0,239.61
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,205.0,CALL,0.0,0.01,0.01,13570,101,0.002,0.001,-0.005,0.0,0.0,255.489
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,207.5,CALL,0.0,0.01,0.01,3795,12,0.002,0.0,-0.005,0.0,0.0,271.079
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,144.0,PUT,0.0,0.01,0.01,1086,34,-0.002,0.001,-0.005,0.0,0.0,253.053
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,145.0,PUT,0.0,0.01,0.01,5049,149,-0.002,0.001,-0.005,0.0,0.0,243.816
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,146.0,PUT,0.0,0.01,0.01,2731,57,-0.002,0.001,-0.005,0.0,0.0,234.62
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,147.0,PUT,0.0,0.01,0.01,1567,49,-0.002,0.001,-0.005,0.0,0.0,225.46
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,148.0,PUT,0.0,0.01,0.01,2737,128,-0.002,0.001,-0.005,0.0,0.0,216.338
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,149.0,PUT,0.0,0.01,0.01,1461,32,-0.002,0.001,-0.005,0.0,0.0,207.247
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,150.0,PUT,0.0,0.01,0.01,20530,463,-0.002,0.001,-0.005,0.0,0.0,198.191
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,152.5,PUT,0.0,0.01,0.01,5371,826,-0.002,0.001,-0.005,0.0,0.0,175.673
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,155.0,PUT,0.0,0.01,0.01,18567,816,-0.003,0.001,-0.005,0.0,0.0,153.304
AMD,2025-08-08 12:19:38.417065,20250808,2025-08-08,157.5,PUT,0.0,0.01,0.01,6445,2500,-0.003,0.002,-0.005,0.0,0.0,131.032
